"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"99","DEP","PEV048",0.00063,0.0337164750957854,0.260593284121917,0.71192315069219,87,0.0328731494252874,0.00583,0.2095,1.00266414085217
"100","DEP","PEV049",-7.60000000000012e-05,-0.0437876299945266,0.444007611236495,0.773948866210792,87,0.0252651034482759,0.00583,0.1253,0.870841879969985
"101","DEP","PEV050",0.00591458333333333,0.146360153256705,0.159136523777078,0.11134688653314,87,0.0942419540229885,0.007,0.2428,0.564051688307353
"102","DEP","PEV051",0.00158333333333333,0.216529830322934,0.894240204841928,0.0135315852990448,87,0.0291876551724138,0.00583,0.177,0.940941463201368
"103","DEP","PEV052",0.000315,0.0720306513409962,0.793134088229548,0.361943354345004,87,0.023439367816092,0.00583,0.189,1.05628972104586
"104","DEP","PEV053",6.74999999999999e-05,0.0546250684181719,0.918328373499011,0.591039143591172,87,0.0196008045977011,0.00583,0.149,0.936877110239428
"105","DEP","STL161",0.052325,0.416666666666667,0.624904643833578,5.17337557927206e-05,72,0.463201666666667,0.019,1.77,0.828752702280222
"106","DEP","STL162",0.00176,0.0584474885844749,0.957191181981797,0.672575133588703,73,0.23087301369863,0.013,0.861,0.936493653176102
"107","DEP","STL163",0.0131,0.328703703703704,0.399790757874566,0.00209645693354614,72,0.154101388888889,0.00583,0.7535,1.15576394689368
"108","DEP","STL164",0.009,0.363380281690141,0.931884788078932,0.000663092039590321,71,0.0893976478873239,0.007,0.499,1.09707555527333
"109","DEP","STL165",0.005583,0.271296296296296,0.68142682446536,0.00927606972486063,72,0.07206625,0.00583,0.37,1.04174430280346
"110","DEP","STL166",0.011048,0.305555555555556,0.817823510541539,0.00423185055981499,72,0.181497083333333,0.011,0.825,1.04390063095413
"111","DEP","STL167",0.002301,0.17962962962963,0.932515033928122,0.0837162158821129,72,0.08312625,0.00583,0.4435,1.43981174337926
"112","DEP","STL168",0.00253333333333333,0.261111111111111,0.978312932400717,0.00927114840180152,72,0.0670391111111111,0.007,0.3492,1.24798561162768
"113","DEP","STL169",0.01545,0.25,0.906598014719973,0.020305503076549,72,0.210748194444444,0.018,0.899,1.01624470434726
"114","DEP","STL170",0.00191583333333333,0.134259259259259,0.931958456500271,0.17600302184399,72,0.0705990694444444,0.00583,0.365,1.15140249825165
"115","DEP","STL171",0.014459,0.348148148148148,0.646443385124194,0.000673788162754111,72,0.190202638888889,0.014,0.763,0.998174272958785
