"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"227",115907,"MiamiBeach","12","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"228",115908,"MiamiBeach","13","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"229",115909,"MiamiBeach","14","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"230",115910,"MiamiBeach","15","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"231",115911,"MiamiBeach","16","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"232",115912,"MiamiBeach","17","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"233",115913,"MiamiBeach","18","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"234",115914,"MiamiBeach","19","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"235",115915,"MiamiBeach","20","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"236",115916,"MiamiBeach","21","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"237",115917,"MiamiBeach","22","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"238",115918,"MiamiBeach","23","2020-06-18","Ammonia",NA,"mg/L",NA,NA,NA
"239",115919,"MiamiBeach","24","2020-06-18","Ammonia",0.038,"mg/L",NA,NA,NA
"240",116078,"MiamiBeach","26","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"241",116079,"MiamiBeach","27","2020-06-20","Ammonia",0.063,"mg/L",NA,NA,NA
"242",116080,"MiamiBeach","28","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"243",116081,"MiamiBeach","32","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"244",116082,"MiamiBeach","33","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"245",116083,"MiamiBeach","29","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"246",116084,"MiamiBeach","30","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"247",116085,"MiamiBeach","34","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"248",116086,"MiamiBeach","41","2020-06-20","Ammonia",0.045,"mg/L",NA,NA,NA
"249",116087,"MiamiBeach","40","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"250",116088,"MiamiBeach","39","2020-06-20","Ammonia",0.13,"mg/L",NA,NA,NA
"251",116089,"MiamiBeach","38","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"252",116090,"MiamiBeach","37","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"253",116091,"MiamiBeach","36","2020-06-20","Ammonia",0.15,"mg/L",NA,NA,NA
"254",116092,"MiamiBeach","31","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"255",116093,"MiamiBeach","35","2020-06-20","Ammonia",NA,"mg/L",NA,NA,NA
"256",116277,"MiamiBeach","1","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"257",116278,"MiamiBeach","2","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"258",116279,"MiamiBeach","3B","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"259",116280,"MiamiBeach","3","2020-07-17","Ammonia",0.082,"mg/L",NA,NA,NA
"260",116281,"MiamiBeach","3A","2020-07-17","Ammonia",1.7,"mg/L",NA,NA,NA
"261",116282,"MiamiBeach","4","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"262",116283,"MiamiBeach","5","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"263",116284,"MiamiBeach","6","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"264",116285,"MiamiBeach","7","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"265",116286,"MiamiBeach","8","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"266",116287,"MiamiBeach","9","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"267",116288,"MiamiBeach","10","2020-07-17","Ammonia",0.062,"mg/L",NA,NA,NA
"268",116289,"MiamiBeach","11","2020-07-17","Ammonia",0.083,"mg/L",NA,NA,NA
"269",116290,"MiamiBeach","12","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"270",116291,"MiamiBeach","13","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"271",116292,"MiamiBeach","14","2020-07-17","Ammonia",0.046,"mg/L",NA,NA,NA
"272",116293,"MiamiBeach","15","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"273",116294,"MiamiBeach","16","2020-07-17","Ammonia",0.098,"mg/L",NA,NA,NA
"274",116295,"MiamiBeach","17","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"275",116296,"MiamiBeach","18","2020-07-17","Ammonia",0.04,"mg/L",NA,NA,NA
"276",116297,"MiamiBeach","19","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"277",116298,"MiamiBeach","20","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"278",116299,"MiamiBeach","21","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"279",116300,"MiamiBeach","22","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"280",116301,"MiamiBeach","23","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"281",116302,"MiamiBeach","24","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"282",116303,"MiamiBeach","25","2020-07-17","Ammonia",NA,"mg/L",NA,NA,NA
"283",116465,"MiamiBeach","26","2020-07-18","Ammonia",0.041,"mg/L",NA,NA,NA
"284",116466,"MiamiBeach","27","2020-07-18","Ammonia",NA,"mg/L",NA,NA,NA
"285",116467,"MiamiBeach","28","2020-07-18","Ammonia",0.33,"mg/L",NA,NA,NA
"286",116468,"MiamiBeach","32","2020-07-18","Ammonia",NA,"mg/L",NA,NA,NA
