"","X","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"270",2961,"SFER","58","2015-06-03","Salinity",36.293,NA,25.1652,-81.654,NA
"271",2972,"SFER","59","2015-06-03","Salinity",36.682,NA,25.1669,-81.4882,NA
"272",2983,"SFER","60","2015-06-04","Salinity",37.249,NA,25.1667,-81.334,NA
"273",2994,"SFER","61","2015-06-04","Salinity",37.193,NA,25.1674,-81.2742,NA
"274",3005,"SFER","62","2015-06-04","Salinity",37.998,NA,25.1669,-81.2355,NA
"275",3016,"SFER","68","2015-06-04","Salinity",38.423,NA,24.93,-81.1653,NA
"276",3027,"SFER","69","2015-06-04","Salinity",38.199,NA,24.9299,-81.0949,NA
"277",3038,"SFER","70","2015-06-04","Salinity",38.764,NA,24.9306,-81.0259,NA
"278",3049,"SFER","67","2015-06-04","Salinity",37.279,NA,25.0312,-81.1274,NA
"279",3060,"SFER","66","2015-06-04","Salinity",37.92,NA,25.0684,-81.1082,NA
"280",3071,"SFER","65","2015-06-04","Salinity",39.055,NA,25.1015,-81.0926,NA
"281",3082,"SFER","64","2015-06-04","Salinity",38.27,NA,25.1668,-81.1563,NA
"282",3093,"SFER","63","2015-06-04","Salinity",37.947,NA,25.1673,-81.2012,NA
"283",3104,"SFER","54","2015-06-04","Salinity",35.449,NA,25.3436,-81.1524,NA
"284",3115,"SFER","55","2015-06-04","Salinity",34.299,NA,25.3511,-81.3511,NA
"285",3126,"SFER","56","2015-06-04","Salinity",36.081,NA,25.351,-81.2264,NA
"286",3137,"SFER","57","2015-06-04","Salinity",37.014,NA,25.352,-81.2661,NA
"287",3148,"SFER","57.1","2015-06-04","Salinity",36.733,NA,25.3515,-81.3367,NA
"288",3159,"SFER","57.2","2015-06-04","Salinity",36.192,NA,25.3518,-81.4905,NA
"289",3170,"SFER","1","2015-07-27","Salinity",36.816,NA,25.6448,-80.1247,NA
"290",3181,"SFER","2","2015-07-27","Salinity",36.646,NA,25.6407,-80.104,NA
"291",3192,"SFER","3","2015-07-27","Salinity",35.576,NA,25.645,-80.0805,NA
"292",3203,"SFER","EKIN","2015-07-27","Salinity",36.851,NA,25.3352,-80.2224,NA
"293",3214,"SFER","EKMID","2015-07-27","Salinity",35.9,NA,25.3145,-80.1938,NA
"294",3225,"SFER","EKOFF","2015-07-27","Salinity",35.699,NA,25.2947,-80.1631,NA
"295",3236,"SFER","4","2015-07-27","Salinity",36.368,NA,25.1076,-80.3803,NA
"296",3247,"SFER","5","2015-07-27","Salinity",35.693,NA,25.0957,-80.3526,NA
"297",3258,"SFER","5.5","2015-07-27","Salinity",35.797,NA,25.0796,-80.3323,NA
"298",3269,"SFER","6","2015-07-27","Salinity",36.399,NA,25.0643,-80.3153,NA
"299",3280,"SFER","6","2015-07-27","Salinity",35.853,NA,25.0643,-80.3153,NA
